Respuesta,"Enviado el:",Institución,Departamento,Curso,Grupo,ID,"Nombre completo","Nombre de usuario",Q00_G1-v2,Q00_G2-v2,Q00_G3_v2,Q00_G4->Interest,Q00_G4->Workload,Q00_G4->Difficulty,Q00_G5->Interest,Q00_G5->Workload,Q00_G5->Difficulty,Q00_G6,Q00,"Q00_C1->1. Python","Q00_C1->2. R","Q00_C1->3. SQL and databases","Q01_C2->1. Python","Q01_C2->2. R","Q01_C2->3. SQL and databases","Q02_C3->1. Python","Q02_C3->2. R","Q02_C3->3. SQL and databases","Q03_M1->Teacher explanations","Q03_M1->Practical computer exercises","Q03_M1->Grading other students' exercises","Q03_M1->Midterm exams","Q03_M1->Moodle forums and questions/answers","Q03_M1->Moodle grade book","Q03_M1->Teachers' comments to exercises and use of ""rubricas""","Q04->In general, assessment methods are fair","Q04->We are only asked about material that we have been explained","Q04->The relative weight for each part is appropriate","Q04->Grading of our comments on other students' work is a good idea",Q05_CC1b_v2
116429,"16/12/2021 18:31:42",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo11,,"-Los assignments semanales. Sé que la única manera de aprender a programar es programando, y se que los ejercicios son necesarios en el proceso de aprendizaje, pero sinceramente se me ha hecho muy pesado estar cada semana haciendo un ejercicio y un comentario. He sentido que no he tenido ni un descanso de la asignatura (menos el puente de diciembre).&nbsp;-Que R diese tantos problemas, que las cosas dejases de funcionar de un momento a otro.&nbsp;","-Los profesores. Tanto Luis como Modesto se preocupan mucho por que vayamos entendiendo las cosas y por que la asignatura sea lo más llevadera y fácil posible.&nbsp;-El nivel de dificultad y exigencia me parecen muy adecuados.&nbsp;-Dinamicidad de las clases.&nbsp;-Método de enseñanza, el hecho de ir nosotros tecleando las cosas en vez de escuchando la teoría.&nbsp;-La atención que se nos da a todos y cada uno de los estudiantes si la necesitamos.&nbsp;",,2,4,2,2,5,3,"4 : Yes, it's OK","5 : 5 (Yes, definitely)",5,3,2,3,5,3,3,4,1,4,4,3,5,4,1,4,5,4,5,3,"Me ha gustado mucho acudir a las clases de esta asignatura. Es una metodología completamente diferente a cualquier otra asignatura de la carrera, y eso se agradece. Es verdad que no se me da tan bien como me gustaría, pero me ha parecido interesante y sobre todo muy muy útil para mi futuro.&nbsp;"
116449,"16/12/2021 18:41:08",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo12,,"Quizás se han sobreestimado un poco nuestros conocimientos de programación, los ejercicios han sido un poco complicados. Esto ha llevado a que tengamos que invertir mucho tiempo en resolver las entregas y quizás por eso el porcentaje que representa sobre la nota final es un poco escaso. Se le podrían dar más peso a las entregas e incluso eliminar los exámenes.","- La estructura de las clases está muy bien,&nbsp; mediante ejemplos etc.&nbsp;- Se aprende mucho al hacer las entregas.","Daría más peso a las entregas, de forma que representaran un porcentaje mayor de la nota, incluso pudiendo llegar a eliminar los exámenes.&nbsp;",4,5,4,4,5,5,"4 : Yes, it's OK","4 : 4",4,4,4,3,5,4,4,5,4,5,5,3,1,5,1,5,5,4,2,3,
116444,"16/12/2021 18:36:54",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo13,,"En la parte de R parece haber habido una descoordinación entre las dos partes dadas. La segunda parte me ha parecido más caótica, sobre todo durante las primeras clases. Era imposible seguir las diapositivas, entender 20 funciones diferentes el mismo día, tratar de copiarlas en un script mientras la clase seguía. Si bien es cierto que con las clases ha ido mejorando, aportándonos directamente el script y trabajando sobre ello, todavía falta pulir algunas cosas. Uno de los principales problemas ha sido la complejidad de los ejemplos que se daban justo tras explicar una nueva función. Por ejemplo, en el caso de la función ifelse() se proponía un primer ejercicio para entender la función demasiado complejo, concatenando varias funciones que, si bien puede ser interesante plantearlo en los problemas, no creo que proceda en la explicación.&nbsp;Otro de los continuos problemas en R han sido las versiones del programa, la imposibilidad de instalar paquetes o de cargarlos. En mi opinión se dan demasiados paquetes distintos en vez de centrarnos en unos pocos. Esto provoca que nos acabamos teniendo que leer la ayuda de todos los paquetes para comprender lo que estamos haciendo en vez de entender bien los más importantes. Creo que se podrían mencionar&nbsp;otros con perspectivas de futuro, porque al final nos vamos a tener que leer la guía igualmente si queremos utilizarlo.&nbsp;Otro problema de R ha sido el hecho de que en algunos de los scripts nos pedíais cosas que no habíamos visto y no sabíamos abordar. Por ejemplo, en uno de los script nos pedíais utilizar la función sample(), que no habíamos visto; mientras que en otros nos pedías conectar con un servidor externo sin ni siquiera mencionarlo en clase con la excusa de leerlos la ayuda del paquete y no sabíamos si los errores eran por no saber utilizarlo o por el propio servidor.&nbsp;","En mi opinión, la parte de Python ha estado bien organizada. Creo que los contenidos son adecuados y los problemas eran más o menos asequibles. También me parece buena idea, aunque es cierto que es algo de trabajo, lo de hacer scripts cada semana porque permite reforzar los conocimientos aprendidos, plantearnos dudas que no surgen directamente tras una explicación... Veo bien el hecho de valorar los scripts de otros compañeros (aunque en los dos últimos de R no nos han dado tiempo en clase para ello) porque ayuda a ver como lo pueden hacer otras personas.&nbsp;",,4,5,3,4,4,3,"5 : Yes, without hesitation","4 : 4",5,4,3,4,4,3,3,5,1,4,5,3,4,4,3,5,4,3,3,3,
116437,"16/12/2021 18:34:02",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo14,,"Es una asignatura que requiere dedicar bastantes horas semanales ya que es fundamentalmente una evaluación continua.La parte de R ha sido un poco caótica y más difícil de entender y resolver los ejercicios que la de Python. Además, ha dado bastantes problemas técnicos en cuanto a instalación de paquetes, etc.","La forma de evaluación es muy justa y optar a no tener que presentarse al examen final en enero es una gran ventaja.El contenido de la asignatura es interesante, útil y dinámico.Los profesores están muy dispuestos a resolver cualquier duda y facilitarnos el trabajo lo máximo posible.&nbsp;","Considero que la corrección de los scripts de los compañeros en algunos casos puede resultar repetitiva, sobre todo en R, ya que no hay tanta variedad en cuanto a formas de resolver los ejercicios como en Python. Por eso, creo que tal vez no sea una parte tan importante de la asignatura.Los scripts que hay que entregar semanalmente muchas veces son muy complicados y demandan mucho tiempo. Creo que se podrían acortar o hacer algo más sencillos para no tener que dedicarle hasta 10 horas en algunos casos a poder resolverlos.",4,4,4,4,4,4,"5 : Yes, without hesitation","5 : 5 (Yes, definitely)",4,4,3,5,5,4,4,4,3,4,4,2,5,4,1,5,5,4,5,3,
116445,"16/12/2021 18:38:11",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo15,,"Al ser un campo tan nuevo para muchos de nosotros, puede resultar abrumador tanta información nueva cada semana. También es cierto que en tan pocas clases, si se quiere abarcar todo el temario pertinente, es necesario introducir muchos conceptos nuevos por clase.En el examen de Python, supuso mucho más tiempo del esperado el resolver las preguntas de la primera parte, dejando muy poco tiempo para realizar el segundo apartado del examen. Además de que no había posibilidad de medios puntos en este segundo apartado lo cual resultó un poco frustrante.","Es una asignatura muy interesante y nueva que aporta mucho conocimientos, a mi parecer, indispensables, en la carrera investigadora. Sobre todo las clases de Luis se hacía muy amenas porque eran muy dinámicas y las de Modesto quizás tienen que ser mejoradas, pero no van en mal camino.","Las clases de R de la parte de Modesto deberían ser retocadas añadiendo quizás apartados más claros en las diapositivas y mostrando en todos los casos los resultados de las lineas de código de forma más explicativa.En cuanto a exámenes, creo que están bien planteados pero, como ya comentaba anteriormente, quizás seria mejor reducir el tiempo a invertir en la primera parte del examen y dar mas tiempo a la segunda (no quitando nº de preguntas pero si simplificandolas a la hora de comprender y leer). Además, que exista la posibiilidad de dar puntuaciones intermedias en la parte de Python.",4,4,5,4,4,5,"4 : Yes, it's OK","3 : 3",4,3,3,4,4,3,4,4,3,5,5,4,4,4,3,4,4,4,4,4,
116438,"16/12/2021 18:33:58",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo16,,"La parte de R muy caótica, rápida, difícil de seguir, en todos los ejercicios había ambigüedades y teníamos que buscar por nuestra cuenta funciones que no habíamos visto en clase.","Interesante, útil y práctico","La parte de R más estructurada, parando un poco más en las estructuras y que hace cada parte de la sintaxis, muchas veces teníamos que deducir nosotros para qué servía cada argumento.",4,3,3,5,3,3,"4 : Yes, it's OK","5 : 5 (Yes, definitely)",4,2,1,4,5,2,3,4,4,4,5,2,3,4,1,5,4,2,3,4,
116432,"16/12/2021 18:32:10",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo17,,"Diría que noto que se va acumulando mucho temario y que a la hora de enfrentarse a los ejercicios el tiempo a emplear es muy largo para sacarlos adelante y requiere en varias veces informarme con cosas de fuera del temario, porque me cuesta verlo.&nbsp;En la parte de R noté que el tiempo que se deja en clase para ir ejecutando los comandos de las diapositivas es muy corto y no da tiempo, y me desenganchaba del ritmo que seguía el profe.&nbsp;","La dinámica que sigue la asignatura en sí me parece muy interesante, ya que de alguna forma te obliga a llevar las cosas al día.&nbsp;","Cambiaría la carga de trabajo semanal, porque aunque si que hay veces que estamos más libres y podemos dedicarle más tiempo, otras nos ha sido imposible sacar cosas concluyentes para los scripts. Y el ritmo que se sigue en clase hay veces que es demasiado rápido, así que relajaría un poco la velocidad.",3,4,5,3,4,5,"4 : Yes, it's OK","3 : 3",4,2,2,5,5,5,4,4,1,5,4,4,5,5,3,5,4,3,5,5,
116426,"16/12/2021 18:28:50",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo18,,"A veces es un poco complicado seguir las clases porque se dan por hecho conceptos que se han explicado por encima y en realidad no quedan muy claros.&nbsp;","Aprendes a hacer cosas que te sirven para muchísimas de las cosas que hacemos academicamente de una forma mas rapida y comoda.&nbsp;","Quizás, las clases de R me han parecido bastante complejas y no se si se podría llegar a simplificar un poco mas o explicar mas paso a paso. Hemos venido de aprender python y por eso vamos más rápido pero aun así, son lenguajes bastantes diferentes en mi opinión por lo que iría mas despacio.&nbsp;",5,5,5,4,5,5,"4 : Yes, it's OK","4 : 4",5,4,2,4,5,4,4,5,3,4,5,3,3,3,1,3,4,4,5,5,
116435,"16/12/2021 18:33:38",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo19,,"Demasiada carga de trabajo&nbsp;","La verdad que programar esta guay y cuando te sale un código da gustirrinín. Los ejercicios prácticos hacen que sea muy rápido adquirir la mentalidad de programar y ya en los últimos piensas automáticamente en como resolverlos. Que las lecciones se centren principalmente en la práctica lo veo mejor que si solo nos dieron teoría.","Menos carga de trabajo. Y cheatsheets más completas tampoco vendrían mal, sobre todo en casos en los que hay que tocar muchos parámetros como en las gráficas de R. Además aprender a hacer gráficas con R también sería útil.",5,5,3,5,4,3,"5 : Yes, without hesitation","2 : 2",5,4,2,4,4,1,2,4,3,4,5,2,4,2,1,4,5,4,5,3,
116436,"16/12/2021 18:33:25",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo20,,"En general, hay demasiada carga de trabajo para nuestro nivel de conocimientos. Cada vez que damos un temario que incluye nuevas funciones tardamos bastante en asimilarlo, y al haber tantos ejercicios de aspectos que no hemos llegado a asimilar del todo, tardamos mucho tiempo en hacerlos porque la base no está asentada.","Lo que más positivo considero es la constante preocupación de los profesores en saber nuestro feedback y que no había problema si en clase nos quedábamos varios minutos atascados en algún paso.","En la parte de R se dan muchos detalles y muchas funciones, y creo que sería mejor dar menos para así asegurarnos de que lo entendemos todo y que nos da tiempo a asimilarlo (en Python había una media de 7 diapositivas por tema, mientras que en R pasaron a ser 20-30, cada una con varias funciones nuevas que ni de asomo nos daba tiempo a asimilar en clase).&nbsp;En la parte de ejercicios, creo que sería mejor poner 1 solo ejercicio con unos pocos apartados en vez de varios ejercicios o uno con demasiados apartados y que encima dependan unos de otros, ya que si te quedas atascado en una parte ya no eres capaz de terminar el ejercicio.",4,5,4,4,5,5,"2 : I wouldn't be very enthusiastic about it","4 : 4",4,4,3,4,3,2,3,4,2,4,3,3,4,4,4,5,4,4,2,5,
116889,"23/12/2021 12:39:05",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo21,,"Sometimes the scripts that we had to do were extremely difficult, leading us to spend a lot of time on doing them and after that amount of time they didn't even work which was a bit frustrating.&nbsp;I feel like the last units of R didn't follow a logical progression and we saw some functions just because.","I think this course gives a large insight in basic programming tools, allowing the students to do basic scripts that can help them speed up some tedious processes of biochemistry.","I consider that python scripts are well planned. In our group we did everything each and then shared our scripts so we did not have any problem in dividing each script as other groups mentioned in class. However, in R scripts we felt like we were just writing functions just because, like it didn't have any correlation between exercises. I understand that R and Python have different purposes but it would be nice if we were given a bit of background to feel like the exercises have a final goal and not just create a heatmap or divide this data frame.&nbsp;I think teachers should have more consideration for students' operative systems as sometimes scripts run only in Linux computers even though the great majority of the class has Windows.&nbsp;I would like more classes about databases as what we saw was very interesting.",5,4,4,5,5,4,"5 : Yes, without hesitation","5 : 5 (Yes, definitely)",5,4,4,4,5,4,5,5,4,5,5,3,5,4,3,4,4,2,4,4,"About question number 11, I would find teacher's comments to exercises more useful if they had been given before mid-term exams, both in Python and in R.About question number 12, I disagree with the statement as in both self-evaluations we were asked to do things we had not been explained. In R exam, making legends was only self-taught after doing the self-evaluation. In R23 assignment, we had not seen how to do a heatmap, just to give some examples."
116434,"16/12/2021 18:33:46",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo22,,"Siento que la carga de trabajo es enorme, o al menos para mí, que nunca antes había programado. Me ha costado seguir la asignatura y he quedado algo decepcionado con la nota (aunque no hayamos acabado la evaluación sé que no puedo aspirar a mucho más). Tener un solo fin de semana para hacer los scripts es agobiante, en alguna ocasión hemos tenido que entregar scripts incompletos o con fallos con tal de no entregar nada. El tiempo de los exámenes se queda corto. En general, me llevo un mal sabor de la asignatura y si tuviera que volver a elegir optativas no elegiría esta.&nbsp;","Me parece una asignatura muy interesante y con mucho potencial. Sin duda los programas con los que hemos trabajado pueden ser de gran utilidad en la carrera científica. Me ha gustado que en los exámenes pudiéramos disponer de apuntes, ejercicios... es de gran ayuda, sobre todo sin haber visto nunca antes programación. Ha sido diferente a todo lo que hemos visto antes en la carrera.","Una menor carga de trabajo de los ejercicios.",2,4,4,1,4,5,"1 : No way","2 : 2",4,3,1,2,4,3,4,5,3,4,5,3,4,1,1,4,4,3,5,5,
116440,"16/12/2021 18:36:38",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo23,,"Las tareas finales de cada tema a veces son muy extensas y sería conveniente plantear ejercicios intermedios a lo largo de los temas de menor dificultad para estar más preparados a la hora de realizar la tarea semanal. En algunas partes sería mejor tener más tiempo para realizar las tareas semanales. En la parte de R cuesta seguir la estructura general de las funciones, quizás estaría bien dar los contenidos de R de forma más lenta.","A lo largo de las clases se plantean muchos ejemplos y las tareas semanales están muy bien para entender todos los contenidos explicados en clase.","Se podría reducir la carga de trabajo de las tareas semanales. De manera que en lugar de realizar una tarea con muchos apartados que, a veces se hace muy tedioso, se podrían plantear ejercicios más sencillos de forma periódica con un aumento gradual de la complejidad. En el caso de las representaciones gráficas en R estaría bien explicar en mayor profundidad los parámetros.",5,4,3,5,4,4,"4 : Yes, it's OK","5 : 5 (Yes, definitely)",5,4,4,5,5,5,3,4,4,5,5,4,5,5,3,5,4,4,4,4,
116441,"16/12/2021 18:36:38",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo23,,"Las tareas finales de cada tema a veces son muy extensas y sería conveniente plantear ejercicios intermedios a lo largo de los temas de menor dificultad para estar más preparados a la hora de realizar la tarea semanal. En algunas partes sería mejor tener más tiempo para realizar las tareas semanales. En la parte de R cuesta seguir la estructura general de las funciones, quizás estaría bien dar los contenidos de R de forma más lenta.","A lo largo de las clases se plantean muchos ejemplos y las tareas semanales están muy bien para entender todos los contenidos explicados en clase.","Se podría reducir la carga de trabajo de las tareas semanales. De manera que en lugar de realizar una tarea con muchos apartados que, a veces se hace muy tedioso, se podrían plantear ejercicios más sencillos de forma periódica con un aumento gradual de la complejidad. En el caso de las representaciones gráficas en R estaría bien explicar en mayor profundidad los parámetros.",5,4,3,5,4,4,"4 : Yes, it's OK","5 : 5 (Yes, definitely)",5,4,4,5,5,5,3,4,4,5,5,4,5,5,3,5,4,4,4,4,
116460,"16/12/2021 21:28:54",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo24,,"Con respecto a Python; entiendo que el objetivo es aprender el manejo básico en un tiempo bastante reducido, pero lo que noté durante el avance de las lecciones es que cuando aun no había entendido cosas de scripts anteriores, como por ejemplo el uso de if o bucles sencillos, ya estábamos trabajando con cosas nuevas y más complejas. Es decir, me daba cuenta de que a la velocidad que íbamos y el grado de dificultad que se nos exigía en los scripts, cuando debía usar cosas de temas previos en scripts de temas finales, no sabía como usar nociones básicas que supuestamente ya debía tener integradas. Es un curso de iniciación a la programación, pero ya en el segundo script me vi sobrepasada; y desde ahí me costaba mucho tener ideas para resolver los scripts, que eran demasiado complicados y extensos como para saber siquiera como abordarlos. Como se ha comentado previamente en las clases, sería interesante contar con ejercicios más sencillos y cortos, donde aplicar lo visto en clase, porque cuando te presentan un ejercicio en el que tienes que hacer 30 comandos enlazados es muy abrumador y al final te ofuscas en que todo salga bien y te dejas por el camino el entender cosas pequeñas e importantes. Otra cosa más es el examen, entiendo la restricción de tiempo, pero es demasiado agobiante tener que distribuirte tú el tiempo, darte cuenta de que la primera parte tiene cosas enrevesadas y te va a llevar más tiempo del que planeabas, y tener alrededor de 45 minutos para hacer dos scripts que aunque más fáciles de los de clase, con la presión y el poco tiempo, se pueden volver complicados.&nbsp;Con respecto a R; en general ya de entrada supuso un cambio grande porque cuando estaba empezando a acostumbrarme a Python y a cogerle el tranquillo, fue cuando cambiamos. Y aunque no hay diferencias enormes que hagan que me costara muchísimo seguir las clases de R, el tener que cambiar de lenguaje, y luego cambiar de profesor, ha resultado difícil. Es cierto que empezamos con nociones más básicas y scripts menos enrevesados que en Python, pero en cuanto cambiamos de profesor se notó otra forma completamente diferente de dar las clases, hasta el punto de que no era capaz de coger apuntes en esas clases ni enfocar los scripts. Claro que es útil buscar en internet o usar el help para entender mejor ciertas cosas, pero es que en general muchos de los scripts se han basado en inventarme cosas, en buscar en otras fuentes y en no acabar consiguiendo ningún resultado, y ha sido sumamente frustrante.&nbsp;De manera general, algo negativo es la cantidad de tiempo que le dedicas a los scripts. Muchos son muy complicados, demasiado en mi opinión, y hacen que estés todo el fin de semana, desde el viernes hasta el lunes, haciendo ensayos de prueba y error y buscando en internet, con mucha frustración. En una carrera tan exigente, con otras asignaturas, dedicarle tanto tiempo a esto ha sido fuente de mucho estrés en general. Así&nbsp;que retomando lo dicho anteriormente, con scripts más sencillos y cortos que te sirvieran para entender nociones básicas y no fueran tan sumamente largos y enrevesados, creo que el sentimiento general habría sido diferente.&nbsp;","De manera general, ha sido una asignatura obviamente muy interactiva y dinámica, diferente a lo que estamos acostumbrados, y me ha gustado retarme a mí misma y poner en común los scripts con mi grupo. También las clases han sido interesantes y nada aburridas, alejadas de tomar apuntes de manera mecánica como en otras clases. Todo está bien organizado y sigue un orden lógico, las diapos y todos los materiales son muy útiles y todo está muy completo.&nbsp;","-Mayor tiempo en los exámenes- Menor dificultad en algunos scripts o más tiempo para realizarlos.&nbsp;",4,4,4,3,5,5,"4 : Yes, it's OK","2 : 2",4,2,2,4,3,2,4,4,2,5,5,2,5,4,1,5,4,2,3,5,
116433,"16/12/2021 18:33:40",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo25,,"Tiempo exageradamente alto dedicado a los Assignments.Clases a veces demasiado rápidas y poca incisión en los aspectos importantes.Assignments y exámenes demasiado ambiciosos.","Escucha activa de los profesores, buen diálogo.Método de evaluación favorable.Al final, aporta un conocimiento amplio sobre las posibilidades de los programas.Muy muy positiva la existencia de la Autoevaluación.","Simplificación de Assignments y exámenes.Los ejemplos en clase, han sido mejor aprovechados cuando tenemos el script y vamos corriendo línea por línea, en lugar de tener que copiarlas. Además, permite tomar notas sobre el propio script.Que las diapositivas estén siempre subidas antes de clase porque facilita el seguimiento de las sesiones, aunque después de la clase se actualice porque haya cambiado algo.Entiendo vuestra postura en cuanto a las fechas de las entregas, pero a veces el periodo de trabajo es demasiado corto para el esfuerzo que requieren.",2,5,4,1,5,5,"2 : I wouldn't be very enthusiastic about it","1 : 1 (Not at all)",2,2,1,1,3,1,4,5,3,4,4,3,4,3,5,4,4,3,5,2,Socorro&nbsp;
116430,"16/12/2021 18:30:54",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo26,,"En mi opinión habría que volver a ver la estructura de las clases del bloque de R, por el resto bien.","Los scripts semanales para ir incorporando los argumentos vistos en clase","El formato de las clases dee R, que sean más explicativas.",5,3,3,4,4,3,"5 : Yes, without hesitation","3 : 3",5,3,3,4,4,3,3,4,3,4,4,3,4,4,3,4,5,4,5,3,
116447,"16/12/2021 18:38:23",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo27,,"Requiere mayor tiempo de clases para afianzar mas los conocimientos obtenidos.&nbsp;Scripts largos, situaciones donde al quedarte atascado no consigues avanzar .&nbsp;Difícil compatibilidad si tienes muchas asignaturas.","Consigues sentir una gran satisfacción cuando entiendes las distintas funcionalidades y sabes hacer los ejercicios. Se logra uno de los objetivos más importantes que es el de incentivar a continuar aprendiendo estos lenguajes.&nbsp;","Dedicaría mayor tiempo a R para afianzar la información. Promovería la utilización de hints en los scripts (con posible penalización por uso para la calificación) para cuando aquellos grupos que no consigan avanzar puedan hacerlo, y que les sirva de progresión en comparación con otros scripts.Incentivaría el uso de otros editores para phyton, ya sea spyder o&nbsp; visual studio code debido a que idle resulta mucho menos interactivo y las facilidades de otros editores ayudan en el flujo de trabajo",4,4,4,5,4,4,"5 : Yes, without hesitation","4 : 4",4,5,3,5,5,3,3,3,3,5,5,3,4,3,3,5,5,4,3,4,
116428,"16/12/2021 18:30:03",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo28,,"Falta de tiempo para pensar mejor tanto los scripts semanales como los ejercicios del examen.","He aprendido bastante teniendo en cuenta lo negada que soy.",,4,5,5,4,5,5,"3 : I wouldn't encourage nor discourage them","4 : 4",4,4,4,4,4,4,5,5,4,5,5,4,4,5,3,4,3,4,5,4,
