Respuesta,"Enviado el:",Institución,Departamento,Curso,Grupo,ID,"Nombre completo","Nombre de usuario",Q00_G1-v2,Q00_G2-v2,Q00_G3_v2,Q00_G4->Interest,Q00_G4->Workload,Q00_G4->Difficulty,Q00_G5->Interest,Q00_G5->Workload,Q00_G5->Difficulty,Q00_G6,Q00,"Q00_C1->1. Python","Q00_C1->2. R","Q00_C2->1. Python","Q00_C2->2. R","Q00_C3->1. Python","Q00_C3->2. R","Q00_M1->Teacher explanations","Q00_M1->Short programming exercises (python)","Q00_M1->Programming problems","Q00_M1->Grading other students' programming problems","Q00_M1->Teachers' comments to exercises and use of ""rubricas""","Q00_M1->R Project Based Approach (1): R1, R2 & R6 lectures","Q00_M1->R Project Based Approach (2): Course Materials online","Q00_M1->R Project Based Approach (3): Experts Meetings","Q00_M1->R Project Based Approach (4): Group Meetings","Q00_M1->R Project Based Approach (5): Feedback from the project","Q00_M1->R Project Based Approach (6): Project Exercises","Q00_M1->R Project Based Approach (7): Demonstration session","Q00_M1->R Project Based Approach (8): Overall","Q00_M1->Midterm exams","Q00_M1->Moodle forums and questions/answers","Q00_M1->Moodle grade book","Q00->In general, assessment methods are fair","Q00->We are only asked about material that we have been explained","Q00->The exams' programming problems are easier than the ones solved during the course","Q00->The relative weight for each part is appropriate","Q00->Grading of our comments on other students' work is a good idea",Q01_CC1b_v2,"Q02_M1->Teacher explanations","Q02_M1->Short programming exercises (python)","Q02_M1->Programming problems","Q02_M1->Grading other students' programming problems","Q02_M1->Teachers' comments to exercises and use of ""rubricas""","Q02_M1->R Project Based Approach (1): Course Materials online","Q02_M1->R Project Based Approach (2): Experts Meetings","Q02_M1->R Project Based Approach (3): Group Meetings","Q02_M1->R Project Based Approach (4): Project feedback","Q02_M1->R Project Based Approach (5): Project Exercises","Q02_M1->R Project Based Approach (6): Demonstration session","Q02_M1->R Project Based Approach (7): Overall","Q02_M1->Midterm exams","Q02_M1->Moodle forums and questions/answers","Q02_M1->Moodle grade book"
151575,"21/12/2023 14:00:04",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo11,,"Dificultad del examen de Python y, sobre todo, falta de tiempo. Además, el hecho de hacer por primera vez un examen de programación me supuso unos nervios que no esperaba que me impidió concentrarme.Falta de tiempo e información para los proyectos de R, debían ser más cortos o dejar más tiempo entre v1 y v2, el tiempo entre v0 y v1 era correcto","Entendimiento de Python y R básico que me ha hecho darme cuenta de que me gusta la programación.Muy buenas explicaciones, en la parte de Python los ejercicios semanales y proyectos te hacian aprender mucho, en la parte de R, las reuniones de expertos eran muy interesantes.","La carga de trabajo del proyecto de REl tiempo requerido para el proyecto de RDificultad del examen de Python ",5,4,3,5,5,5,"5 : Yes, without hesitation","5 : 5 (Yes, definitely)",5,5,4,5,3,4,5,5,5,3,4,3,5,3,5,5,5,3,5,5,3,3,4,2,1,4,5,,5,5,5,3,4,3,5,5,3,5,3,5,5,3,3
151589,"21/12/2023 14:00:33",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo12,,"la parte de r, no es fácil de seguir porque se pierden kos ejercicios semanales y dependemos de que nos lo expliquen otros","python, muy útil y fácil se seguir con los ejercicios semanales.","más tiempo para el proyecto de r, menos dificultad en el examen de python.",5,4,4,5,5,5,"5 : Yes, without hesitation","5 : 5 (Yes, definitely)",5,3,5,5,5,5,5,5,5,4,4,5,4,3,4,3,4,3,4,1,4,4,5,1,1,4,4,,5,5,5,4,4,3,3,4,4,4,3,4,1,4,4
151585,"21/12/2023 14:06:20",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo13,,"Mucha carga de trabajo. Las entregas de python sobre todo a mi punto de ver era lo que más tiempo nos quitó de todas las asignaturas. R los dos proyectos también requerían mucho tiempo pero si que es verdad que algo menos.","Por otra parte, la carga de trabajo hace que aprendas de verdad a programar y a pensar como programador. Me ha gustado el formato de R de hacer grupos para explicar las lecciones, es bastante ameno. En python el formato no está mal, porque si que aprendes también.","Si que es verdad que en R sería mejor centrarte en un único proyecto, aunque pidiesen algo más, porque centrarte en dos cosas totalmente distintas cuesta mucho. Vendría bien avisar en python de que algunos comandos son distintos dependiendo del sistema operativo. Quizás se podría recomendar que todos usemos el mismo so, aunque no se hasta que punto es viable. ",5,5,5,3,5,5,"4 : Yes, it's OK","3 : 3",3,4,2,4,5,5,5,5,4,2,2,4,4,3,4,5,3,3,4,2,5,3,5,4,2,3,4,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151603,"21/12/2023 14:07:53",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo14,,"Es verdad que la carga de trabajo es muy grande, sobre todo en la parte de R ya que entre explicarnos las cosas entre nosotros, los proyectos y el examen ha resultado un poco demasiado todo. En general es una asignatura con mucha carga de trabajo, aunque entiendo que puede ser necesario porque si no no aprendemos. Ademas, todas las entregas y todas las cosas ""importantes"" de R han coincidido con exámenes de BIBMS e incluso con el examen de R. Se que cuadrar cosas entre asignaturas es complicado, pero dado que los dos coordinadores de HPBBM son los mismos que los de BIBMS digo yo que algo se podrá hacer.  Los proyectos de R eran muy muy complejos para el nivel que habíamos conseguido en las clases.","Explicarnos las cosas unos a otros es una forma muy buena de entender el temario. De hecho, el tema que menos claro me quedó fue el 6 que no lo explicamos entre nosotros.  Que el parcial de R no incluyera todo el temario. En general, aprender haciendo cosas y no solo escuchando clases.","Organizarse mejor con BIBMS.  Organizar un poco mejor las clases de entregas de proyectos.",4,5,5,4,5,5,"5 : Yes, without hesitation","3 : 3",4,3,3,4,4,4,5,5,5,3,4,4,4,2,4,5,5,2,4,3,3,3,5,4,2,4,3,"En las sesiones de feedback de proyectos, estaría bien que el feedback se dé habiendo mirado bien el proyecto porque si no se sale de las sesiones con bastante incertidumbre (cuando el objetivo debería ser lo contrario)",,,,,,,,,,,,,,,
151594,"21/12/2023 14:08:18",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo15,,"La carga de trabajo es tremendamente excesiva. Personalmente, sobre todo para la parte de Python, tuve la sensación de que los workflows no se tenían en cuenta porque la mayoría eran de más de dos horas de media y aún así hubo algunos de los últimos temas que llevaban incluso más tiempo. Y eso solo con respecto a los cuestionarios de moodle. A los scripts grupales había que dedicarles entre seis y diez horas, cosa que es completamente desproporcional teniendo en cuenta que tenemos más asignaturas de la carrera. Y si encima coincide con otro examen de alguna otra asignatura, pues se pasa regular la verdad. Echando cuentas, si en una semana se juntaba un script grupal con algún formulario había que dedicar más de una hora al día a esta asignatura, lo cual, desde el punto de vista del alumnado, no es factible.Y otro aspecto negativo es que, aún dedicando todo ese tiempo, luego las preguntas del parcial no están ajustadas a ese nivel y es más probable sacar mala nota que buena, lo cual genera mucha frustración después de haberse esforzado tanto.Por otro lado, el nuevo sistema de enseñanza del temario de R tiene la parte buena de que, al ser explicado por nuestros compañeros prestamos más atención y las dudas se responden de manera más cercana. Pero me parece que no es algo que merezca la pena debido al tiempo que hay que emplear para que cada uno se mire su propio tema, más el tiempo que luego le dedicas a entender los otros temas y a los proyectos. Además, en una hora y media es imposible dar todo el tema y los ejercicios del final. No me parece que esté pensado de forma realista.","Considero que la evaluación por proyectos de algunos temas en vez de por exámenes sí está bien porque permite trabajar más tranquilamente y profundizar más en las funciones que se usan en R.","Repartiría más los ejercicios para tener que dedicarles menos tiempo en casa. También ajustaría el nivel de los exámenes a algo más fácil.",4,5,4,5,5,4,"3 : I wouldn't encourage nor discourage them","5 : 5 (Yes, definitely)",5,5,4,5,5,4,3,4,4,4,5,3,3,4,4,5,4,3,4,4,4,3,2,1,1,2,3,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151599,"21/12/2023 14:10:18",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo16,,"Respecto a Python: - el tiempo es un poco justo para asimilar los conceptos porque, al ser una introducción, sobre todo los últimos temas se hacen un poco bola - el examen debería de tener una extensión de acuerdo a los tiempos promedio de realización que se han ido recogiendo a lo largo de las entregas. ej. si para los scripts la media estaba en 2h y la realización de los cuestionarios de código corto de entre 5-6 preguntas 1h (3h aprox) no se puede pretender hacer 14 preguntas y 1 script en 1h y 30   De acuerdo a R: - el método de self-learning es innovador y sobre la teoría suena bastante bien. Sin embargo, considero que el curso no dota de la suficiente autonomía como para enseñar y asimilar todos los conceptos de cada tema. - realizar 2 proyectos funcionales en 2 semanas es bastante exigente. En Python fue gradual la realización de proyectos de acuerdo a lo visto en clase pero en R necesitábamos conocer conceptos sino recientemente aprendidos, que todavía no se habían explicado. Lo dejaría en 1 proyecto como reto (o challenge) para los alumnos","Respecto a Python: - El hecho de realizar los scripts de forma gradual de acuerdo a lo que se explicaba en clase permitía interiorizar muy bien los conceptos y ENTENDER cómo expresarnos en un lenguaje de programación (entendiendo que la mayoría lo vemos por primera vez) - Aunque este bloque requiere bastante exigencia, con organización se puede llevar y aprendes mucho.  En cuanto a R: - es interesante aprender a funcionalizar acciones cotidianas que puedes tener en el laboratorio y ayuda a conocer otros lenguajes de programación. - explicar los temas en equipo, si bien he comentado que es bastante exigencia para lo que considero que ""introducción a la programación"" significa, permite familiarizarse a entender por tu cuenta la programación (a fin de cuentas así aprenden los programadores profesionales)","En cuanto a Python: - Cambiaría la longitud del examen parcial  En cuanto a R: - Cambiaría la dinámica. Está bien que aprendamos el tema por nuestra cuenta pero convendría que, en vez de ""reuniones de expertos"" seminarios con el profesor con el que contrastar, preguntar y asimilar conceptos - Solo pediría un proyecto final en R. De este modo habría tiempo de, frente a imprevistos o correcciones, que el alumno pudiera aprender y concebir los cambios con tiempo para asimilarlos",3,5,4,3,5,5,"1 : No way","2 : 2",4,2,4,1,4,5,5,5,5,5,5,5,5,2,5,5,2,5,2,5,5,5,5,2,1,1,4,,5,5,5,5,5,5,2,5,5,2,2,2,2,5,5
151611,"21/12/2023 14:08:51",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo17,,"La forma de evaluar no refleja siempre como de bien sabes programar. al final es un lenguaje exacto y es complicado que los que aprendemos desde 0 podamos responder bajo presión del tiempo en un examen.El proyecto de r necesita más tiempo pues hasta que no se enseña el temario es complicado avanzar y solo cuando ya sabes programar en r queda poco tiempo para la entrega. Sí no se podrían pedir task que requirieran menos conocimientos, algo progresivo ","Es de las pocas asignaturas en las que se aprende algo distinto en la carrera. Al final sabes realizar un manejo de datos de muchos experimentos distintos. ","Me parecería que se deberia dar más tiempo para la enseñanza teórica en R ",4,4,4,3,5,4,"4 : Yes, it's OK","4 : 4",3,4,2,4,4,4,5,4,4,3,4,5,3,3,4,5,4,2,3,2,5,5,2,4,2,3,3,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151591,"21/12/2023 14:03:39",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo18,,"En la parte de Python, el examen no creo que sea representativo con las explicaciones. Fue demasiado largo y no daba tiempo a responder a todoEn la parte de R, creo que una forma más eficiente sería poner únicamente el desarrollo de 1 proyecto, ya que en el momento en el que se empieza con R, es cuando más carga de trabajo hay.Quizás las explicaciones teoricas que no recaigan tanto en los estudiantes y dar más clases tradicionales.","Trabajar por grupos es una de las mejores cosas que tiene la asignatura, ya  no sólo porque es menos carga de trabajo, sino también porque las cosas aue tu no entiendes te las pueden explicar ellos de una forma más sencilla.La parte de los proyectos también me ha parecido mejor que con un examen.","Re-plantearia la parte del proyecto ya que 2 proyectos para menos de un mes, teniendo conocimientos limitados de R es complicado.La forma de evaluar la parte de Python, ya que el examen no es equiparable con las explicaciones/problemS",3,5,4,2,5,4,"2 : I wouldn't be very enthusiastic about it","4 : 4",2,3,2,4,5,5,4,3,3,2,4,2,3,2,2,3,3,2,3,1,2,1,3,2,1,4,2,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151590,"21/12/2023 14:06:22",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo19,,"Quizá la carga de trabajo se hace muy grande en determinados momentos (sobre todo, cuando había exámenes y otras cosas a hacer de otras asignaturas). El examen de Python fue, a mi gusto, quizá un poco demasiado complicado para lo que habíamos aprendido.","La asignatura está muy aplicada a cosas que podemos hacer en nuestro día a día como bioquímicos. Yo salgo sabiendo que tengo una buena base de programación, lo cual es muy bueno porque es una competencia transversal.","Los exámenes con tiempo ilimitado.",5,4,5,-999,-999,-999,"5 : Yes, without hesitation","5 : 5 (Yes, definitely)",5,4,5,5,3,4,4,5,5,3,4,4,4,1,4,5,5,2,5,2,3,5,4,3,2,4,3,"La nueva parte de R, aunque desconozco cómo funcionaba otros años, me ha parecido todo un éxito. A mí personalmente me ha gustado bastante la aproximación, la existencia de una web, los proyectos...",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151614,"21/12/2023 14:12:24",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo20,,"Demasiado tiempo empleado o mas bien gastado en hacer los ejercicios. Tenia mucha esperanza en esta asignatura, pensaba que iba a aprender mas de lo que he aprendido, si se puede decir que he aprendido algo. Las clases de python han ido incrementando exponencialmente la dificultad y si supuestamente iban a tratarse temas para principiantes, no entiendo como puede ser todo tan difícil de un día para otro. El primer script de python o el pirmer assigment, bueno, pero a partir de ese, imposibles, muchisimo tiempo intentando hacerlos para que no salieran. No llevamos programando toda la vida.Por no hablar de la parte de R, esta parte no me ha gustado nada. Tener que explicar un tema de programacion que no he dado nunca y sin tener ni idea de R me parece una perdida de tiempo, y un sobre esfuerzo demasiado grande como para unos principiantes. Además luego en el examen entra la parte que hemos explicado los alumnos no esta normalizada la cantidad de aprendizaje porque igual unos han profundizado mas en una explicación o en otra. ","Luis explica muy bien.Nueva forma de pensar o de plantear los problemas.","Muy poco tiempo en las entregas.dar mas tiempo o poner MENOS tareas.",3,5,5,2,5,5,"1 : No way","2 : 2",3,3,2,2,5,5,5,4,4,3,4,5,5,1,1,4,1,1,1,5,1,5,1,1,1,1,1,"No se que mas decir",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151609,"21/12/2023 14:09:53",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo21,,"En la parte de python hay mucha carga de trabajo por las entregas semanales y las entregas en grupo. Quiza habria q compensarlo un poco de forma q algunas semanas no hubiese entrega por grupo o no hubiese entrega individual.Por otro lado, el examen parcial de python fue extremadamente complicado para el nivel q habiamos visto durante las clases, ademas de la evidente falta de tiempo q hubo.En la parte de R lo q peor ha sido yo creo q es la organizacion de las clases con respecto a los proyectos. Porq por ejemplo para algunos proyectos teniamos q hacer unos plots para la v0 antes de saber usar ggplot. Y luego despues de aprender a usar ggplot, para la v1 teniamos q rehacer esos plots con ggplot, entonces al final haces trabajo de mas q no sirve de nada. Yo creo q seria mas eficaz dar primero el contenido necesario para hacer los proyectos, y luego ponerte a hacer los proyectos. Pasa lo mismo con aggregate: antes de saber usar aggregate, hicimos una parte del proyecto con bucles. Y cuando descubrimos la funcion aggregate en la clase R6 pues vimos que habiamos perdido mazo tiempo en hacer los bucles y q nos lo podiamos haber ahorrado con aggregate.Habiendo visto las demostraciones de otros grupos, me parece que hay una gran diferencia en la dificultad de los proyectos: el 1 y 2 por ejemplo son mucho mas fsciles que el 3 o el 5. Esto me orece importante equilibrarlo de cara a otros años. Por ejemplo poner solo 1 proyecto dificil por grupo o 2 faciles por grupo.Otra cosa a mejorar seria el formato de las clases: nose hasta q punto es bueno q nos lo miremos por nuestra cuenta y luego lo expliquemos. Si q es verdad q me parece q aprendemos mejor, pero claro, al final el trabajo de entender las lecciones lo tenemos q hacer en casa, cuando en verdad deberia hacerse en clase. Por otro lado, me faltan mas ejercicios practicos en la parte de R, igual q con python aprendemos a base de ejemplos y ejercicios cortos, esa metodologia podria extrapolarse a R y me parece q asi aprenderiamos mejor el lenguaje y a manejarnos en R","En la parte de python: esta muy bien lo de estar toda la clase tecleando, y me gusta q practicamente todo sean ejercicios practicos, porq se aprende mucho mejor y mas rapido, y entiendes mejor el lenguaje de python.En la parte  de R: me ha gustado el hecho de hacer los proyectos, me parece q se aprende mucho mejor, y esta bien que haya v0, v1 y v2 porq te obliga a ir trabajando el proyecto poco a poco. Ademas me ha gustado que ha habido un muy buen seguimiento y feedback por parte de los profesores y tb de yosra y victor, la verdad que eso ha sido de mucha ayuda.Por otro lado, el examen parcial me parecio muy adecuado, era un examen en el q podias sacar buena nota si habías entendido los conceptos, y la dificultad del mismo me parecio muy acorde con las clases (que al final nos las habiamos tenido que mirar nosotros)","Equilibrar ls entregas semanales de python porq algunas semanas habia DEMASIADA carga de trabajoEl examen de python lo pondria mas asequible: tanto el nivel de dificultad como la longitud del examenLa organizacion de las clases con respecto al proyecto de R: lo reorganizaria de forma que tengamos cuanta mas informacion posible antes de ponernos a hacer el proyecto, o al menos antes de empezar con la parte complicada del proyecto.",5,5,4,5,5,4,"4 : Yes, it's OK","5 : 5 (Yes, definitely)",4,5,2,5,5,5,5,4,5,2,4,5,5,5,5,5,5,4,5,3,5,3,4,1,5,4,2,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151604,"21/12/2023 14:07:34",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo22,,"- Que los exámenes (enunciados) sean en inglés--&gt; mayor tiempo para entenderlo- Poco tiempo para realizar los proyectos de R (no suficiente tiempo)- Necesario más tiempo para procesar las cosas (en un mes se da python y se termina un jueves el contenido y el día siguiente, teniendo que entregar mil cosas, se hace un examen que fue caótico) (en R sin haber empezado casi a entender las cosas, hay que empezar la versión 0 porque no hay margen de tiempo)- dos proyectos en R son mucho porque no da tiempo para estar participando en los dos. Yo de los dos proyectos uno no tenia ni idea. - en el examen de python muy extenso, difícil y no tiempo suficiente. Si tardo 14 h en hacer un script, en el examen si es muy largo necesito mas tiempo.","Que aprendes a programar y que se da todo de programaciónVes la programación con otros ojos y aunque es frustrante se acaba aprendiendoQue te lo explique otro compañero hace más fácil que entienda y además, de que tienes más contacto con los profesEn python muchos ejercicios para practicarEsta bien que R se de después de python","Los tiempos (poco margen) tanto en entregasR solo un trabajoLongitud de los scripts y tiempo que requiereQue no es una asignatura de seis créditos, es muy intensa",3,3,5,3,3,5,"2 : I wouldn't be very enthusiastic about it","4 : 4",3,3,-999,-999,5,5,5,5,5,3,5,4,4,4,4,4,2,2,2,2,5,5,4,4,1,4,4,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151612,"21/12/2023 14:20:06",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo23,,"Creo que el curso está muy ajustado en cuanto al tiempo. Muchas veces no da tiempo a asimilar los conceptos para las siguientes clases. En la parte de R los proyectos también han estado muy justos de tiempo y se nos pidió entregar la v0 cuando apenas teníamos idea.El nivel de exigencia del examen de Python me pareció desmesurado, sabiendo todo el tiempo que tardamos en hacer los scripts creo que se podría haber ajustado el tiempo del examen mucho mejor. Los ejercicios semanales de Python y los scripts me exigían muchísimo tiempo y prácticamente no podía dedicar tiempo a otra asignatura que no fuera programación, pero he de decir que esto ha ayudado a que practicara y cogiera soltura, que era muy necesario al principio ","Hasta antes de empezar esta asignatura tenía cruzada la programación por la mala experiencia que tuvimos con R en primero de carrera. Ahora me siento capaz de intentar hacer un programa como el de los proyectos de R si alguna vez lo necesito. He aprendido muchas cosas ","Dejaría más tiempo para entregar los proyectos de R, más tiempo hasta la V0 y más espacio entre la V0 y la V1. Las reuniones de expertos al principio son un poco caóticas, creo que es necesario reforzarlas con más profesoras ya que solo con Modesto y Víctor o Yosra, es decir, 2 profesores, no son suficientes para atender a todos los grupos. Muchas veces, sobre todo al principio, nos quedábamos atascados en algo y hasta que no venían era complicado seguir.",4,5,5,4,5,5,"2 : I wouldn't be very enthusiastic about it","2 : 2",4,4,1,4,5,3,5,5,5,1,4,5,5,2,3,4,4,3,4,3,3,4,4,5,1,4,3,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151595,"21/12/2023 14:07:24",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo24,,"Objetivos algo ambiciosos para el tiempo del que se dispone","Iniciativas novedosas y originales. Feedback continuo. ","El formato de explicarnos a nosotros los temas no me termina de convencer, habría que darle una vuelta para hacerlo más eficiente. Sobre todo cuando algunos de esos temas son necesarios para hacer los proyectos. ",4,5,4,4,5,5,"5 : Yes, without hesitation","4 : 4",2,4,1,4,4,4,5,5,4,3,5,3,2,2,2,4,4,1,4,4,4,3,4,5,3,4,3,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151610,"21/12/2023 14:09:53",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo25,,"- Exceso de carga de trabajo: si todas las asignaturas dieran la misma carga de programación, el cuatrimestre sería inviable. Por tanto, la carga de trabajo es exagerada.- La asignatura debería ser solo un lenguaje, y concretamente R, ya que es el más completo que contiene la opción de hacer gráficos.- El examen de Python no se ajustó al tiempo disponible. A quien le dio tiempo a hacerlo era porque tenía conocimientos previos de programación. ","- Aprendizaje nos llevamos ya que partíamos de cero base- Las explicaciones de Luis eran muy buenas","Lo que se corresponde con los aspectos negativos.",3,5,5,3,5,5,"1 : No way","3 : 3",1,4,1,4,5,5,3,4,4,1,3,2,5,3,5,5,3,2,3,3,4,4,2,2,1,3,3,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151597,"21/12/2023 14:07:35",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo26,,"La carga de trabajo es excesiva para tratarse de una optativa. Los trabajos pese a tratar que aprendas son excesivamente complicados/largos (en especial el proyecto de R, que fue a mi parecer muy difícil para el nivel que nos habéis dado en las clases). Además la presentación de los proyectos se ha hecho en una mañana en la que tenemos examen de bioinformática (examen bastante denso), pero además se nos avisó con antelación de un día que tendríamos que presentar los proyectos (si bien es verdad que al final ninguno pudo hacer nada espectacular como diapositivas debido a la falta de tiempo)","Te enseñan herramientas muy utiles en nuestra profesión y en la vida de laboratorio. Te dan opción de practicar con entregas semanales (python) y el ultimo examen de R fue asequible, reflejando el tiempo de estudio que le has dedicado (algo qur no sucedió con el parcial de python)","El número de proyectos de R (pondría 1 en vez de 2), la dificultad de los assignments, dificultad del parcial de python y el horario de la presentación de proyectos",4,5,5,4,5,5,"2 : I wouldn't be very enthusiastic about it","4 : 4",3,4,2,5,4,5,5,5,5,3,4,5,5,2,5,5,3,2,3,3,4,3,4,5,2,2,2,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151588,"21/12/2023 14:04:11",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo27,,"Mucha carga de trabajo que nos saturaba y nos impedía estudiar otras asignaturas. ","Asignatura muy diferente a las que hemos realizado en la carrera, y los contenidos pueden ser muy útiles para nuestro TFG.",,4,5,5,3,5,5,"4 : Yes, it's OK","2 : 2",3,3,2,2,5,5,5,4,3,3,5,3,3,3,3,5,3,2,3,3,4,3,4,4,3,4,3,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151602,"21/12/2023 14:07:31",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo28,,"Aunque entiendo que la programación requiere mucha práctica para aprender, a veces la carga de trabajo no ha sido del todo equilibrada en comparación el resto de asignaturas del cuatrimestre. Además, la forma en la que se ha dado R me parece novedosa y creo que ha sido muy útil para aprender, pero sí que creo que no ha beneficiado a la hora de realizar los proyectos, para los que necesitábamos saber de todos los temas dados en la página de github. P.e., creo que haber tenido obligación de usar ggplot para los trabajos, cuando dicho tema se impartió en las clases muy poco antes de la entrega de la V1 de los proyectos, no ha beneficiado a aquellos a quienes no le hubiera tocado ese tema como expertos.","Me parece que la implicación de los profesores en las clases, en contestar a preguntas en los foros, y en general en ayudarnos y hacernos más amena la asignatura a los alumnos ha sido considerable.Además, pese a las cosas negativas que ya he dicho del nuevo modelo de metodología de la parte de R, creo que sí es cierto que haberlo dado de la manera tradicional hubiera sido muy pesado, y de esta nueva manera al menos el aprender se ha hecho algo más dinámico.","Sí que creo que sería bueno revisar un poco la organización de las clases de aprendizaje de los temas de R. Comprendo que el tiempo ha sido muy limitado y eso ha hecho que vayamos un poco ""a la carrera"", pero a veces se me hacía muy pesado. P.e., tener que mirar un tema de R el mismo día de un examen, o tener que entregar las versiones de los proyectos, nos ha complicado compaginar el resto de asignaturas con esta.",4,1,4,4,1,4,"5 : Yes, without hesitation","4 : 4",5,5,5,5,5,5,5,4,4,2,3,4,5,4,3,5,4,3,4,3,3,4,4,3,2,2,2,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
151606,"21/12/2023 14:19:08",,,"HERRAMIENTAS DE PROGRAMACIÓN EN BIOQUÍMICA Y BIOLOGÍA MOLECULAR (Grupo 281)",,,Anónimo29,,"En cuanto a la parte de R, al hacer los proyectos teníamos que ir cambiando el script según íbamos viendo los temas nuevos, lo que me ha parecido poco eficiente y un poco pérdida de tiempo para nosotros.En cuanto a la parte de python, me parece un poco excesivo el tiempo que hemos invertido en hacer los scripts que teníamos que entregar, al principio de curso me tiraba la mayoría del tiempo con R sin poder dedicarle tiempo a las demás asignaturas. En cuanto al primer parcial, mal gestionado el tiempo de examen, faltaba muchísimo tiempo para tantas preguntas y hacer un script entero.","Es una asignatura diferente donde he aprendido muchas cosas nuevas y muy útiles.La organización de la parte de R al principio no me convencía pero luego me acabó gustando.La dinámica seguida en las clase de python también me ha gustado. ","El número de entregas consumía demasiado tiempo, además de toda la carga y exámenes de las demás asignaturas.Entiendo que en esta asignatura es muy necesario practicar pero realmente me ha parecido un poco excesivo. No era sostenible.",3,5,4,4,5,5,"4 : Yes, it's OK","3 : 3",4,4,4,4,5,3,4,3,4,1,3,3,5,2,5,5,5,5,5,5,5,5,4,3,2,3,2,,4,4,4,1,4,5,4,5,4,4,4,4,5,5,5
